TABLE WeatherFileData_S901G,,,,,,,
ZipCode,County,State,CliZn,EnergyPriceID,WthrStationNum,;,WthrFileEPW
77982,Calhoun County,TX,2A,2,722524,;,USA_TX_Rockport-Aransas.Co.AP.722524_TMY3.epw
77983,Calhoun County,TX,2A,2,722555,;,USA_TX_Palacios.Muni.AP.722555_TMY3.epw
77984,Lavaca County,TX,2A,2,722536,;,USA_TX_Randolph.AFB.722536_TMY3.epw
77987,Lavaca County,TX,2A,2,722550,;,USA_TX_Victoria.Rgnl.AP.722550_TMY3.epw
77988,Victoria County,TX,2A,2,722550,;,USA_TX_Victoria.Rgnl.AP.722550_TMY3.epw
77990,Refugio County,TX,2A,2,722555,;,USA_TX_Palacios.Muni.AP.722555_TMY3.epw
77991,Jackson County,TX,2A,2,722550,;,USA_TX_Victoria.Rgnl.AP.722550_TMY3.epw
77993,Goliad County,TX,2A,2,722550,;,USA_TX_Victoria.Rgnl.AP.722550_TMY3.epw
77994,DeWitt County,TX,2A,2,722550,;,USA_TX_Victoria.Rgnl.AP.722550_TMY3.epw
77995,DeWitt County,TX,2A,2,722550,;,USA_TX_Victoria.Rgnl.AP.722550_TMY3.epw
78001,La Salle County,TX,2B,3,722526,;,USA_TX_Cotulla.AP.722526_TMY3.epw
78002,Bexar County,TX,2A,2,722523,;,USA_TX_San.Antonio-Stinson.AP.722523_TMY3.epw
78003,Bandera County,TX,2B,3,722530,;,USA_TX_San.Antonio.Intl.AP.722530_TMY3.epw
78004,Kendall County,TX,3A,4,722544,;,USA_TX_Austin-Camp.Mabry.722544_TMY3.epw
78005,Frio County,TX,2B,3,722523,;,USA_TX_San.Antonio-Stinson.AP.722523_TMY3.epw
78006,Kendall County,TX,3A,4,722544,;,USA_TX_Austin-Camp.Mabry.722544_TMY3.epw
78007,McMullen County,TX,2A,2,722523,;,USA_TX_San.Antonio-Stinson.AP.722523_TMY3.epw
78008,Atascosa County,TX,2A,2,722523,;,USA_TX_San.Antonio-Stinson.AP.722523_TMY3.epw
78009,Medina County,TX,2B,3,722535,;,USA_TX_San.Antonio-Kelly.AFB.722535_TMY3.epw
78010,Kerr County,TX,3B,6,722576,;,USA_TX_Killeen-Fort.Hood.Rgnl.AP.722576_TMY3.epw
78011,Atascosa County,TX,2A,2,722526,;,USA_TX_Cotulla.AP.722526_TMY3.epw
78012,Atascosa County,TX,2A,2,722523,;,USA_TX_San.Antonio-Stinson.AP.722523_TMY3.epw
