TABLE WeatherFileClimateZone,,,,,,,,,,,,
WthrStationNum,WthrFile,CliZn,Lat,Long,Elevation,DsgnWB,DsgnWBDay,EPWHash,DDYHash,,,
//Weather Station Number,Weather Station Name,Climate Zone (1-16),Latitude (degrees),Longitude (degrees),Elevation (ft),Design WetBulb (F),Design Day Name,(SHA-256),(SHA-256),,SymVals,Old Elevations
724815,MERCED_724815,12,37.27,-120.52,154,72.1,JUL,93d6d45ad3c9763ae51456a2c882004c7b5711715a06274552f2d100f7a63af0,ff3c26806f2f0a5ecbf5a48a866cf89557b6379dbff3ddff27f829aef009bf06,//,54,154.1994751
724830,SACRAMENTO-EXECUTIVE_724830,12,38.5,-121.5,13,71.8,JUL,e3f5b8a798269d80b28ca576bc0e32b5c5221eba88af2c9228d7b315e4e85a9b,0a5f70c721138c6d1126285feca0f70eb1ab894f0858aacea93ebc27db7eaaec,//,55,13.12335958
724839,SACRAMENTO-METRO_724839,12,38.7,-121.57,23,71.8,JUL,a8644f74e39d75a459512cffd6835c666e4c2b50b898b58226ae0cad2f4d6004,35fcd4aab3774e901947691bff4c29d21d2bdaefb6d34b8cbc155575067e19ed,//,56,22.96587927
724920,STOCKTON_724920,12,37.88,-121.22,20,74.3,SEP,2fb2e18560cc8bb8350e63dfaeb1271da9ee812c9da2ed5d1cea7a9488244797,6746abe140721643e7e1624a46b779cf75e08585def5e319ac4e460398f445fa,//,57,19.68503937
745160,FAIRFLD-TRAVIS-AFB_745160,12,38.27,-121.92,59,71.1,JUL,dba625b88164a22895f91ac8ebb62751ce8bfbe05b3cdc26bf09f60c10f7f1f3,fa3bf18142d85c823b0b615c826bf62d8d1891331a4fe752d7cb3f3440c130aa,//,58,59.05511811
724926,MODESTO_724926,12,37.62,-120.95,95,72.7,JUL,5fdf4d28072c4264a689fea22f8d79370f49caf375f8b265e34d5a456bdacd4c,a3d06c7f5856326611df2ed3a26a70b6b09308f4248f821a21ada02f638011ba,//,59,95.14435696
723890,FRESNO_723890,13,36.77,-119.72,331,71.6,JUL,8c208875e32195054698d120f519c1d3c18f9ba8763c77e2f57e1e9aec6de9bf,7eb43434d716b720b25f7a674dd913eb6e6817ca3bd0f3c99f91f6b1efea9e37,//,60,331.3648294
723840,BAKERSFIELD_723840,13,35.42,-119.03,489,73.8,JUL,484e2db1dcb76e70a07a5d788d3dc2a0c4e6221077c52bec58311ccc074018d6,0860a224c7de9cf591749db08d2c14d30fef912459c2e855405893cce51776b4,//,61,488.8451444
747020,LEMOORE_747020,13,36.32,-119.95,240,73.2,JUL,1173625aa8c5c70f262df380b10eb9e9e06b5d219bdec63737e1d49fc4fab28b,fadb9d32f3fa5acea512b3fa3a497e8a6f86b2c11cc91d7e368eb09a6d6e7fd8,//,62,239.5013123
723895,PORTERVILLE_723895,13,36.02,-119.07,443,74.7,JUL,8961a0669ec61d6915133599feb531a67eefa4b7624307f54d112ca381ff1e17,1fce1018f642c5c13c41235529d0eb5329c176877c1d50dc984cc6e1ef48c78f,//,63,442.9133858
723896,VISALIA_723896,13,36.32,-119.4,292,77.4,JUL,03ea33538fd08b406af3173abbce9c83ae4b38bee2920bca4f0a85e77fd6a05e,8880ae74be162d0ef8ff74f19eb7a72a3f6b9620d8006a47c95cf0a074f76c8d,//,64,291.9947507
746120,CHINA-LAKE_746120,14,35.67,-117.67,2218,66.7,Annual,2f0d751a82f80c3af0cfdd0a63fc95a7d3982ffe09064ccfc68b533313dbb13a,7eef63913e05d130405e22dcdc7aa16caaf79996dd6f898d8f56308be4c007a0,//,65,2217.847769
723810,EDWARDS-AFB_723810,14,34.88,-117.87,2313,69.3,SEP,d4313e3b65abefa3dc450f935c97ba0e99228411a6562d33e1ee2cd2a5c04d07,53a84e6d4525278ba1d3f91da4fd0b55b7e272b53e0d90a3f751c02eecb5cd1c,//,66,2312.992126
723826,INYOKERN_723826,14,35.67,-117.82,2457,94.6,AUG,d2e1e6fc16755d5987c96d7593f381cce00b2fc85340b09bb8f4590f46419f62,751b8ef301a27f1e1fc58d637a1796d990976e04e998d2d4c04c8c8cffbc0d4d,//,67,2457.349081
722953,MOJAVE_722953,14,35.07,-118.15,2785,69.6,JUL,5875e5619b9fb19b957026611a4e9cfa7194e0690394f0650d44825fc065d09a,c48065e0bfb95f1b2526c5aacdcd42dd6a117652c91b1554ddd5d7d56d6d0d4e,//,68,2785.433071
723816,LANCASTER_723816,14,34.72,-118.22,2336,70.0,AUG,d7e7dd4341c7870906621aa33aabd6412e49f405215b3ae0602b1712a2ad5654,630b8d4a478e25454aa7ad03c6c5d585e7dc9e83a9f19777e3a3a5da0d7dd600,//,69,2335.958005
723820,PALMDALE_723820,14,34.62,-118.07,2523,69.6,JUL,82fd7d396f7d6e56784e9ed62f97e9551b3df57ad7336c3c33fd1dc9cf35e44d,7d2bea2bb6bcf315b65ff6c5c80696dc7dd82744f67ed0a1f43e1fc496bc5c7a,//,70,2522.965879
723815,DAGGETT-BARSTOW_723815,14,34.85,-116.78,1919,72.1,AUG,d0e869b3d429d399c65ab959d39a0a8d8ed00b7ffa287c4811e54b85fa66eb19,1e6a834c692db514d6db096e920cd72316bbee12f3e8eb1e50a0e8a7bf6d2b2e,//,71,1919.291339
690150,TWENTYNINE-PALMS_690150,14,34.28,-116.17,2054,74.8,AUG,dafdbd51ffb00db1e4f0a337f85fae4e428b7e6d8a8c4e43be78d8bf0da02cf4,eb2b29b59f245ecb06fae25afb9aa2a6f3ef836947901c9887f4cc200c375001,//,72,2053.805774
722810,EL-CENTRO_722810,15,32.82,-115.67,-43,75.4,AUG,eed6b1685141e81f51f013d0e5669dc84f19310a4386daa59e65e5b63ed98fdc,7a5744620d1f20fd50b2fb65370c8eb8f7bac4a0841258398b3b944257bdeaaa,//,73,-42.65091864
747185,IMPERIAL_747185,15,32.82,-115.57,20,76.6,AUG,8cb085570ae39368eb1b8f9a35fd5a39e01d3d805e7acb2169cd144a1b2e3a8d,3d86d9544577ac7302ce36b851e891e99fba0574eff185c8e72d9e273f91347f,//,74,19.68503937
747188,BLYTHE-RIVERSIDE-CO_747188,15,33.62,-114.72,387,73.0,SEP,98195022cf2f9a2c713ba6eee7f4396f5dd1c182b3c0c7d0c28483ac8dc888e8,d4ce864836b298ca1b45269db3b36d1e148354998162c8e4577fc58cf3220e30,//,75,387.1391076
722868,PALM-SPRINGS-INTL_722868,15,33.82,-116.5,476,75.4,JUL,1142eccf4d2f1c165eb33fa237cd0cf7a922579a774be8ba737bfb7fdd759ff9,1d3f17ad50fc3b47b5ab814dd3fda3f757c4c6206ff6c8860cb3502e1fdbda12,//,76,475.7217848
747187,PALM-SPRINGS-THERMAL_747187,15,33.62,-116.17,-112,75.6,AUG,579c5577cc3d0e1a9224fed52f12dd368e057755fb3def5720fb403296847d87,89d9c3b6ec92210fbbabc1a2a454690ef08152079ace06f41723789b023d6f94,//,77,-111.5485564
723805,NEEDLES_723805,15,34.77,-114.62,912,73.9,Annual,65b4161d19a2154103c8c55d9e347b72672fcf43ea9a3880d5d0798401510428,43f68519d9ddd58db7796be1ad1506ca52c5f2a8316614831a30c3312dced5f3,//,78,912.0734908
