TABLE WeatherFileClimateZone_S901G,,,,,,,,
WthrStationNum,State,DsgnWB,WthrFileEPW,WthrFile,DesignDayFileDDY,HeatingDesignDay,CoolingDesignDay,LocationURL
702510,AK,71,USA_AK_Talkeetna.State.AP.702510_TMY3.epw,USA_AK_Talkeetna.State.AP.702510,USA_AK_Talkeetna.State.AP.702510_TMY3.ddy,USA AK Talkeetna State AP Ann Htg 99 6% Condns DB,USA AK Talkeetna State AP Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Talkeetna.State.AP.702510_TMY3.zip
703606,AK,71,USA_AK_Togiak.Village.AWOS.703606_TMY3.epw,USA_AK_Togiak.Village.AWOS.703606,USA_AK_Togiak.Village.AWOS.703606_TMY3.ddy,USA AK Togiak Village AWOS Ann Htg 99 6% Condns DB,USA AK Togiak Village AWOS Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Togiak.Village.AWOS.703606_TMY3.zip
702070,AK,71,USA_AK_Unalakleet.Field.702070_TMY3.epw,USA_AK_Unalakleet.Field.702070,USA_AK_Unalakleet.Field.702070_TMY3.ddy,USA AK Unalakleet Field Ann Htg 99 6% Condns DB,USA AK Unalakleet Field Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Unalakleet.Field.702070_TMY3.zip
704890,AK,71,USA_AK_Unalaska-Dutch.Harbor.Field.704890_TMY3.epw,USA_AK_Unalaska-Dutch.Harbor.Field.704890,USA_AK_Unalaska-Dutch.Harbor.Field.704890_TMY3.ddy,USA AK Unalaska Dutch Harbor Field Ann Htg 99 6% Condns DB,USA AK Unalaska Dutch Harbor Field Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Unalaska-Dutch.Harbor.Field.704890_TMY3.zip
702756,AK,71,USA_AK_Valdez-Pioneer.Field.702756_TMY3.epw,USA_AK_Valdez-Pioneer.Field.702756,USA_AK_Valdez-Pioneer.Field.702756_TMY3.ddy,USA AK Valdez Pioneer Field Ann Htg 99 6% Condns DB,USA AK Valdez Pioneer Field Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Valdez-Pioneer.Field.702756_TMY3.zip
702757,AK,71,USA_AK_Whittier.702757_TMY3.epw,USA_AK_Whittier.702757,USA_AK_Whittier.702757_TMY3.ddy,USA AK Whittier Ann Htg 99 6% Condns DB,USA AK Whittier Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Whittier.702757_TMY3.zip
703870,AK,71,USA_AK_Wrangell.703870_TMY3.epw,USA_AK_Wrangell.703870,USA_AK_Wrangell.703870_TMY3.ddy,USA AK Wrangell Ann Htg 99 6% Condns DB,USA AK Wrangell Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Wrangell.703870_TMY3.zip
722287,AL,71,USA_AL_Anniston.Metro.AP.722287_TMY3.epw,USA_AL_Anniston.Metro.AP.722287,USA_AL_Anniston.Metro.AP.722287_TMY3.ddy,USA AL Anniston Metro AP Ann Htg 99 6% Condns DB,USA AL Anniston Metro AP Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AL_Anniston.Metro.AP.722287_TMY3.zip
722284,AL,71,USA_AL_Auburn-Opelika.AP.722284_TMY3.epw,USA_AL_Auburn-Opelika.AP.722284,USA_AL_Auburn-Opelika.AP.722284_TMY3.ddy,USA AL Auburn Opelika AP Ann Htg 99 6% Condns DB,USA AL Auburn Opelika AP Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AL_Auburn-Opelika.AP.722284_TMY3.zip
722280,AL,71,USA_AL_Birmingham.Muni.AP.722280_TMY3.epw,USA_AL_Birmingham.Muni.AP.722280,USA_AL_Birmingham.Muni.AP.722280_TMY3.ddy,USA AL Birmingham Muni AP Ann Htg 99 6% Condns DB,USA AL Birmingham Muni AP Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AL_Birmingham.Muni.AP.722280_TMY3.zip
722268,AL,71,USA_AL_Dothan.Muni.AP.722268_TMY3.epw,USA_AL_Dothan.Muni.AP.722268,USA_AL_Dothan.Muni.AP.722268_TMY3.ddy,USA AL Dothan Muni AP Ann Htg 99 6% Condns DB,USA AL Dothan Muni AP Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AL_Dothan.Muni.AP.722268_TMY3.zip
