TABLE HotSmlS901GElectric070032CoilClg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
RearStairs Flr1_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-11,Resistance,BaseZnSys2-11,RearStairsFlr1 Thermal Zone,3901.775,3901.775,0,-99996,-99996,,,
RearStorage Flr1_PTHP CoilHtg,BaseSys2 CoilHtg-12,HeatPump,BaseZnSys2-12,RearStorageFlr1 Thermal Zone,3507.228,3374,0,-99996,-99996,,,
RearStorage Flr1_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-12,Resistance,BaseZnSys2-12,RearStorageFlr1 Thermal Zone,3902.263,3902.263,0,-99996,-99996,,,
Restroom Flr1_PTHP CoilHtg,BaseSys2 CoilHtg-13,HeatPump,BaseZnSys2-13,RestroomFlr1 Thermal Zone,4214.854,4055.637,0,-99996,-99996,,,
Restroom Flr1_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-13,Resistance,BaseZnSys2-13,RestroomFlr1 Thermal Zone,4284.9,4284.9,0,-99996,-99996,,,
Corridor Flr2_PTHP CoilHtg,BaseSys2 CoilHtg-14,HeatPump,BaseZnSys2-14,CorridorFlr2 Thermal Zone,14964.256,14399.101,0,-99996,-99996,,,
Corridor Flr2_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-14,Resistance,BaseZnSys2-14,CorridorFlr2 Thermal Zone,17595.336,17595.336,0,-99996,-99996,,,
FrontStairs Flr2_PTHP CoilHtg,BaseSys2 CoilHtg-15,HeatPump,BaseZnSys2-15,FrontStairsFlr2 Thermal Zone,3041.727,2926.025,0,-99996,-99996,,,
FrontStairs Flr2_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-15,Resistance,BaseZnSys2-15,FrontStairsFlr2 Thermal Zone,3092.813,3092.813,0,-99996,-99996,,,
FrontStorage Flr2_PTHP CoilHtg,BaseSys2 CoilHtg-16,HeatPump,BaseZnSys2-16,FrontStorageFlr2 Thermal Zone,1209.358,1163.375,0,-99996,-99996,,,
FrontStorage Flr2_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-16,Resistance,BaseZnSys2-16,FrontStorageFlr2 Thermal Zone,1571,1571,0,-99996,-99996,,,
RearStairs Flr2_PTHP CoilHtg,BaseSys2 CoilHtg-17,HeatPump,BaseZnSys2-17,RearStairsFlr2 Thermal Zone,2812.942,2706.2,0,-99996,-99996,,,
RearStairs Flr2_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-17,Resistance,BaseZnSys2-17,RearStairsFlr2 Thermal Zone,3219.7,3219.7,0,-99996,-99996,,,
RearStorage Flr2_PTHP CoilHtg,BaseSys2 CoilHtg-18,HeatPump,BaseZnSys2-18,RearStorageFlr2 Thermal Zone,2915.433,2804.887,0,-99996,-99996,,,
RearStorage Flr2_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-18,Resistance,BaseZnSys2-18,RearStorageFlr2 Thermal Zone,3219.9,3219.9,0,-99996,-99996,,,
Corridor Flr3_PTHP CoilHtg,BaseSys2 CoilHtg-19,HeatPump,BaseZnSys2-19,CorridorFlr3 Thermal Zone,14856.299,14294.912,0,-99996,-99996,,,
Corridor Flr3_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-19,Resistance,BaseZnSys2-19,CorridorFlr3 Thermal Zone,17595.336,17595.336,0,-99996,-99996,,,
FrontStairs Flr3_PTHP CoilHtg,BaseSys2 CoilHtg-20,HeatPump,BaseZnSys2-20,FrontStairsFlr3 Thermal Zone,3036.292,2920.8,0,-99996,-99996,,,
FrontStairs Flr3_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-20,Resistance,BaseZnSys2-20,FrontStairsFlr3 Thermal Zone,3132.775,3132.775,0,-99996,-99996,,,
FrontStorage Flr3_PTHP CoilHtg,BaseSys2 CoilHtg-21,HeatPump,BaseZnSys2-21,FrontStorageFlr3 Thermal Zone,1219.627,1173.25,0,-99996,-99996,,,
FrontStorage Flr3_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-21,Resistance,BaseZnSys2-21,FrontStorageFlr3 Thermal Zone,1571,1571,0,-99996,-99996,,,
RearStairs Flr3_PTHP CoilHtg,BaseSys2 CoilHtg-22,HeatPump,BaseZnSys2-22,RearStairsFlr3 Thermal Zone,2813.708,2707,0,-99996,-99996,,,
RearStairs Flr3_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-22,Resistance,BaseZnSys2-22,RearStairsFlr3 Thermal Zone,3269.375,3269.375,0,-99996,-99996,,,
RearStorage Flr3_PTHP CoilHtg,BaseSys2 CoilHtg-23,HeatPump,BaseZnSys2-23,RearStorageFlr3 Thermal Zone,2908.402,2798.188,0,-99996,-99996,,,
RearStorage Flr3_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-23,Resistance,BaseZnSys2-23,RearStorageFlr3 Thermal Zone,3269.775,3269.775,0,-99996,-99996,,,
Corridor Flr4_PTHP CoilHtg,BaseSys2 CoilHtg-24,HeatPump,BaseZnSys2-24,CorridorFlr4 Thermal Zone,21244.459,20440.688,0,-99996,-99996,,,
Corridor Flr4_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-24,Resistance,BaseZnSys2-24,CorridorFlr4 Thermal Zone,21596.426,21596.426,0,-99996,-99996,,,
FrontStairs Flr4_PTHP CoilHtg,BaseSys2 CoilHtg-25,HeatPump,BaseZnSys2-25,FrontStairsFlr4 Thermal Zone,3915.429,3766.525,0,-99996,-99996,,,
