;,1,2,3,4,5,6,7,8,9,10,11,12,13.0000,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu
10206,5.5745,1.8977,3.7655,5.5736,1.8977,3.7655,5.5737,1.8977,3.7655,5.5734,1.8977,3.7655,5.5726,1.8977,3.7655,5.2987,1.9188,3.7655,5.5319,1.8569,3.7655,5.3096,1.9188,3.7655,5.245,1.9188,3.7655,5.2413,1.9188,3.7655,5.5727,1.8977,3.7655,5.5726,1.8977,3.7655,5.5735,1.8977,3.7655,5.2366,1.9188,3.7655,5.2446,1.9188,3.7655,5.2226,1.9188,3.7655
10207,5.6987,1.8977,3.7655,5.6978,1.8977,3.7655,5.698,1.8977,3.7655,5.6977,1.8977,3.7655,5.6968,1.8977,3.7655,5.4317,1.9188,3.7655,5.6784,1.8569,3.7655,5.4425,1.9188,3.7655,5.3779,1.9188,3.7655,5.3742,1.9188,3.7655,5.697,1.8977,3.7655,5.6968,1.8977,3.7655,5.6978,1.8977,3.7655,5.3695,1.9188,3.7655,5.3775,1.9188,3.7655,5.3555,1.9188,3.7655
10208,5.6987,1.8977,3.7655,5.6978,1.8977,3.7655,5.698,1.8977,3.7655,5.6977,1.8977,3.7655,5.6968,1.8977,3.7655,5.4479,1.9188,3.7655,5.6946,1.8569,3.7655,5.4587,1.9188,3.7655,5.3941,1.9188,3.7655,5.3904,1.9188,3.7655,5.697,1.8977,3.7655,5.6968,1.8977,3.7655,5.6978,1.8977,3.7655,5.3857,1.9188,3.7655,5.3937,1.9188,3.7655,5.3717,1.9188,3.7655
10209,5.7508,1.8977,3.7655,5.7499,1.8977,3.7655,5.7501,1.8977,3.7655,5.7498,1.8977,3.7655,5.7489,1.8977,3.7655,5.4634,1.9188,3.7655,5.6992,1.8569,3.7655,5.4742,1.9188,3.7655,5.4096,1.9188,3.7655,5.4059,1.9188,3.7655,5.7491,1.8977,3.7655,5.7489,1.8977,3.7655,5.7499,1.8977,3.7655,5.4012,1.9188,3.7655,5.4093,1.9188,3.7655,5.3872,1.9188,3.7655
10210,5.7504,1.8977,3.7655,5.7495,1.8977,3.7655,5.7496,1.8977,3.7655,5.7493,1.8977,3.7655,5.7485,1.8977,3.7655,5.4771,1.9188,3.7655,5.7128,1.8569,3.7655,5.4879,1.9188,3.7655,5.4233,1.9188,3.7655,5.4196,1.9188,3.7655,5.7486,1.8977,3.7655,5.7485,1.8977,3.7655,5.7494,1.8977,3.7655,5.4149,1.9188,3.7655,5.4229,1.9188,3.7655,5.4009,1.9188,3.7655
10211,5.7518,1.8977,3.7655,5.7509,1.8977,3.7655,5.751,1.8977,3.7655,5.7508,1.8977,3.7655,5.7499,1.8977,3.7655,5.4712,1.9188,3.7655,5.7069,1.8569,3.7655,5.482,1.9188,3.7655,5.4174,1.9188,3.7655,5.4137,1.9188,3.7655,5.7501,1.8977,3.7655,5.7499,1.8977,3.7655,5.7509,1.8977,3.7655,5.409,1.9188,3.7655,5.417,1.9188,3.7655,5.395,1.9188,3.7655
10212,5.7475,1.8977,3.7655,5.7466,1.8977,3.7655,5.7467,1.8977,3.7655,5.7464,1.8977,3.7655,5.7456,1.8977,3.7655,5.4675,1.9188,3.7655,5.7032,1.8569,3.7655,5.4783,1.9188,3.7655,5.4137,1.9188,3.7655,5.41,1.9188,3.7655,5.7457,1.8977,3.7655,5.7456,1.8977,3.7655,5.7465,1.8977,3.7655,5.4053,1.9188,3.7655,5.4133,1.9188,3.7655,5.3913,1.9188,3.7655
10213,5.7491,1.8977,3.7655,5.7482,1.8977,3.7655,5.7483,1.8977,3.7655,5.748,1.8977,3.7655,5.7472,1.8977,3.7655,5.4704,1.9188,3.7655,5.7062,1.8569,3.7655,5.4812,1.9188,3.7655,5.4166,1.9188,3.7655,5.4129,1.9188,3.7655,5.7473,1.8977,3.7655,5.7472,1.8977,3.7655,5.7482,1.8977,3.7655,5.4082,1.9188,3.7655,5.4163,1.9188,3.7655,5.3942,1.9188,3.7655
10214,5.7462,1.8977,3.7655,5.7453,1.8977,3.7655,5.7454,1.8977,3.7655,5.7452,1.8977,3.7655,5.7443,1.8977,3.7655,5.4714,1.9188,3.7655,5.7071,1.8569,3.7655,5.4822,1.9188,3.7655,5.4176,1.9188,3.7655,5.4139,1.9188,3.7655,5.7445,1.8977,3.7655,5.7443,1.8977,3.7655,5.7453,1.8977,3.7655,5.4092,1.9188,3.7655,5.4173,1.9188,3.7655,5.3952,1.9188,3.7655
10215,5.7492,1.8977,3.7655,5.7483,1.8977,3.7655,5.7484,1.8977,3.7655,5.7481,1.8977,3.7655,5.7473,1.8977,3.7655,5.4689,1.9188,3.7655,5.7047,1.8569,3.7655,5.4797,1.9188,3.7655,5.4151,1.9188,3.7655,5.4114,1.9188,3.7655,5.7474,1.8977,3.7655,5.7473,1.8977,3.7655,5.7482,1.8977,3.7655,5.4067,1.9188,3.7655,5.4148,1.9188,3.7655,5.3927,1.9188,3.7655
