TABLE HotSmlCECStd16070012TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
GuestRoom401_FPFC CoilClg,BaseSys2 CoilClg-26,ChilledWater,BaseZnSys2-26,GuestRoom401 Thermal Zone,5651.984,5651.984,0.56498,-99996,-99996,-99996,,
GuestRoom402_405_FPFC CoilClg,BaseSys2 CoilClg-27,ChilledWater,BaseZnSys2-27,GuestRoom402_405 Thermal Zone,4729.636,4729.636,0.47278,-99996,-99996,-99996,,
GuestRoom406_408_FPFC CoilClg,BaseSys2 CoilClg-28,ChilledWater,BaseZnSys2-28,GuestRoom406_408 Thermal Zone,5266.769,5266.769,0.52648,-99996,-99996,-99996,,
GuestRoom409_412_FPFC CoilClg,BaseSys2 CoilClg-29,ChilledWater,BaseZnSys2-29,GuestRoom409_412 Thermal Zone,4709.99,4709.99,0.47082,-99996,-99996,-99996,,
GuestRoom413_FPFC CoilClg,BaseSys2 CoilClg-30,ChilledWater,BaseZnSys2-30,GuestRoom413 Thermal Zone,4690.276,4690.276,0.46885,-99996,-99996,-99996,,
GuestRoom414_FPFC CoilClg,BaseSys2 CoilClg-31,ChilledWater,BaseZnSys2-31,GuestRoom414 Thermal Zone,4325.584,4325.584,0.43239,-99996,-99996,-99996,,
GuestRoom415_418_FPFC CoilClg,BaseSys2 CoilClg-32,ChilledWater,BaseZnSys2-32,GuestRoom415_418 Thermal Zone,4305.145,4305.145,0.43035,-99996,-99996,-99996,,
GuestRoom419_FPFC CoilClg,BaseSys2 CoilClg-33,ChilledWater,BaseZnSys2-33,GuestRoom419 Thermal Zone,4288.039,4288.039,0.42864,-99996,-99996,-99996,,
GuestRoom420_423_FPFC CoilClg,BaseSys2 CoilClg-34,ChilledWater,BaseZnSys2-34,GuestRoom420_423 Thermal Zone,4254.138,4254.138,0.42525,-99996,-99996,-99996,,
GuestRoom424_FPFC CoilClg,BaseSys2 CoilClg-35,ChilledWater,BaseZnSys2-35,GuestRoom424 Thermal Zone,4228.289,4228.289,0.42267,-99996,-99996,-99996,,
ENDTABLE,,,,,,,,,,,,
TABLE HotSmlCECStd16070012CoilHtg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
BaseSys5 CoilHtg,BaseSys5 CoilHtg,HotWater,BaseAirSys5,NONE,114303.32,114303.32,5.713,-99996,-99996,,,
BaseSys5 CoilHtg-2,BaseSys5 CoilHtg-2,HotWater,BaseAirSys5-2,NONE,9262.15,9262.15,0.46293,-99996,-99996,,,
